feature,importance
Z,4233
flux_ratio_r_i,2464
flux_mad,2378
flux_p25,2002
rise_time,1980
flux_ratio_u_g,1784
flux_ratio_i_z,1666
flux_max_r,1639
duration,1553
flux_trend_slope,1474
flux_std_y,1470
gp_loglike_g,1443
flux_median,1437
flux_max_i,1434
flux_mean_y,1433
flux_kurtosis,1380
gp_res_std_g,1344
frac_significant_detections,1293
flux_ratio_g_r,1278
flux_max_u,1268
gp_res_skew,1255
gp_res_std_i,1237
color_i_z,1232
color_r_i,1231
gp_loglike_r,1226
gp_res_std_r,1219
flux_max_y,1205
gp_loglike_z,1149
EBV,1141
gp_res_std_u,1105
flux_skewness,1103
gp_res_std_z,1101
fade_time,1082
flux_std_u,1025
flux_std_z,1005
asymmetry_ratio,994
n_detections,989
gp_res_std_y,978
mean_time_interval,970
flux_mean_z,960
uv_excess,960
flux_min,957
n_significant_detections,955
flux_max_g,938
flux_mean_i,935
flux_skew,932
flux_iqr,908
color_g_r_x,906
flux_std_i,884
flux_range,882
gp_loglike_y,881
gp_loglike_u,878
flux_err_median,868
flux_std_r,849
flux_err_mean,848
std_time_interval,832
flux_mean_u,806
gp_loglike_i,773
color_g_r_y,767
gp_res_std_mean,766
flux_mean_r,741
flux_cv,726
flux_std_g,716
flux_max_z,697
flux_p75,693
flux_mean_g,677
snr_peak,658
signal_to_noise_mean,655
max_flux_corrected,655
n_obs_r,604
T_min,602
flux_mean,584
flux_max,578
n_peaks,573
Q_parameter,569
color_u_g,568
n_obs_i,550
n_obs_z,541
n_obs_g,534
n_observations,503
flux_std,485
T_max,473
T_median,471
T_mean,441
observation_duration,438
n_obs_y,404
n_obs_u,303
T_std,239
flux_amplitude,237
n_valid_bb_fits,96
T_is_constant,42
color_evolution_ug,0
